Rank,State or federal district,Gini Coefficient
1,UT,0.4063
2,AK,0.4081
3,NH,0.4304
4,WY,0.436
5,HI,0.442
6,IA,0.4451
7,NE,0.4477
8,SD,0.4495
9,MN,0.4496
10,WI,0.4498
11,MD,0.4499
12,ID,0.4503
13,ME,0.4519
14,DE,0.4522
15,IN,0.4527
16,ND,0.4533
17,VT,0.4539
18,KS,0.455
19,NV,0.4577
20,OR,0.4583
21,CO,0.4586
22,WA,0.4591
23,OK,0.4645
24,MO,0.4646
25,MT,0.4667
26,OH,0.468
27,PA,0.4689
28,MI ,0.4695
29,VA,0.4705
30,WV,0.4711
31,AZ,0.4713
32,AR,0.4719
33,SC,0.4735
34,NM,0.4769
35,NC,0.478
36,RI,0.4781
37,MA,0.4786
38,TN,0.479
39,TX,0.48
40,IL,0.481
41,NJ,0.4813
42,KY,0.4813
43,GA,0.4813
44,MS,0.4828
45,AL,0.4847
46,FL,0.4852
47,USA,0.486
48,CA,0.4899
49,CT,0.4945
50,LA,0.499
51,NY,0.5229
52,DC,0.542
